Price,Close,High,Low,Open,Volume,Returns,Volatility
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2021-06-18,127.40241241455078,128.42779161848907,127.18756736772201,127.64655315856818,108953300,-1.0091513939905816,1.085719537152456
2021-06-21,129.1992645263672,129.3066870329964,126.18168897810015,127.24613887941126,79663300,1.4103752650850065,1.0525760901546977
2021-06-22,130.83990478515625,130.93756704429327,128.53521554050778,129.03327220047046,74783600,1.2698526302014956,1.0494002299177838
2021-06-23,130.56649780273438,131.1719771239041,130.10751190332576,130.63486437979063,60214200,-0.2089629940275617,1.050566906451857
2021-06-24,130.2832794189453,131.4844477920528,129.8145184284701,131.29889842930257,68711000,-0.2169150498445349,1.0540319621329726
2021-06-25,129.99029541015625,130.7520133222248,129.69732354370646,130.33209840454234,70783700,-0.22488227967222274,1.0014231849440725
2021-06-28,131.6211395263672,132.08012525724726,130.22466180559726,130.28325319231956,62111300,1.2545891299540202,1.0020664802473362
2021-06-29,133.13482666015625,133.29108030597018,131.20123622200433,131.64068656233414,64556100,1.1500334514926713,1.0027682358362175
2021-06-30,133.75006103515625,134.1895113589195,132.68559615169934,132.9785680012639,63261400,0.4621137762626626,1.0020690392258074
2021-07-01,134.0527801513672,134.11137153536558,132.5781607819675,133.39848486144226,52485800,0.22633194621972663,0.923996300450995
2021-07-02,136.6797637939453,136.71881975736173,134.52155301126126,134.66803150053377,78852600,1.959663678449508,0.9285568317045623
2021-07-06,138.6914825439453,139.79498860999516,136.78718765891608,136.78718765891608,108181800,1.471848278164134,0.9424005418253886
2021-07-07,141.1816864013672,141.4941787382535,139.3164479398055,140.17581304211686,104911600,1.7954987658545196,0.9791597957846471
2021-07-08,139.8828582763672,140.6836320091057,137.37308477373998,138.26176048175577,105575500,-0.9199692666282067,1.0393572333611982
2021-07-09,141.7090606689453,142.2363981441266,139.3067090791504,139.40437134178396,99890800,1.3055226459342872,0.9952402732360232
2021-07-12,141.1133270263672,142.89067850548736,140.62504561797144,142.78325599959365,76299700,-0.42039206227599824,1.0239470782469624
2021-07-13,142.2266082763672,144.00395975842287,140.26372237579417,140.6543415426895,100827100,0.7889270797165615,0.9317468863995669
2021-07-14,145.65432739257812,146.06449685832388,144.2187789659628,144.62894843170855,127050800,2.410040679273151,0.9741773787306319
2021-07-15,145.00001525878906,146.48439463003243,143.64259379793063,145.74221239499232,106820300,-0.44922258439017426,1.0061895108045114
2021-07-16,142.95901489257812,146.25002646546287,142.4609732736023,144.98050686009336,93251400,-1.4075863113312437,1.0960626590293896
2021-07-19,139.11141967773438,140.69346213559868,138.34970160220286,140.38095477067736,121434600,-2.6913974034690313,1.2711506854026768
2021-07-20,142.7246551513672,143.65240178359875,139.60943216409294,140.09771359109203,96350000,2.597367981725185,1.3440546865581395
2021-07-21,141.99224853515625,142.7051502253578,141.24030578420624,142.11920648842988,74993500,-0.5131605435894637,1.3499556643103048
2021-07-22,143.35946655273438,144.72664893696307,142.39266371599166,142.51962168780233,77338200,0.9628821514433561,1.3467166947109765
2021-07-23,145.07818603515625,145.23443967973952,143.47662343109712,144.09186284341388,71447400,1.1988880286392778,1.34552801919256
2021-07-26,145.4980926513672,146.31840180292855,144.23831833181586,144.79496626398165,72434100,0.2894347025466537,1.334854605803214
2021-07-27,143.3301239013672,145.71293947720633,142.13871611344763,145.62503750180875,104818600,-1.4900324193216297,1.4006187344729872
2021-07-28,141.58209228515625,143.5254579196167,139.19927630353345,141.4160783718357,118931200,-1.2195842497239817,1.4368257148804668
2021-07-29,142.2266082763672,143.11528401739503,141.19145407304512,141.29887657911624,56699500,0.4552242312628296,1.436790135086493
2021-07-30,142.44146728515625,142.90045304700064,140.73248218501953,140.99615834422465,70440600,0.15106808169929042,1.4371400480739513
2021-08-02,142.10940551757812,143.5058829989097,141.84572942137083,142.92971459337417,62880000,-0.23312155786303634,1.3877601198302563
2021-08-03,143.90631103515625,144.57036666149511,141.77739614243097,142.3926355441965,64786600,1.2644522092212007,1.3785327861485825
2021-08-04,143.50588989257812,144.3261990077798,142.85159465298884,143.8183971180824,56368300,-0.2782512731358322,1.3288069677222005
2021-08-05,143.6133270263672,144.37504483971543,142.7441867059485,143.53520021202812,46397700,0.0748660099383347,1.3074569329661603
2021-08-06,142.92872619628906,143.87741265764788,142.42993828378326,143.1341182329051,54126800,-0.4766972844744699,1.284354433868323
2021-08-09,142.8798065185547,143.47640294108896,142.3223394909196,142.9873899692901,48908700,-0.034226624021815866,1.2797943895526778
2021-08-10,142.40057373046875,144.46420892889094,142.10716298252666,143.22211188591413,69023100,-0.3354097403706291,1.2712173950431351
2021-08-11,142.65487670898438,143.4959796880464,142.33212632967644,142.84070404163072,48493500,0.17858283281706466,1.1410980275139566
2021-08-12,145.61830139160156,145.77478914489808,142.63531888467134,142.97763397957073,72282600,2.077338504636317,1.236048975616634
2021-08-13,145.82371520996094,146.1562405427538,145.01195165744014,145.69656702598306,59375000,0.14106318807205476,1.1889587759418816
2021-08-16,147.7992706298828,147.8677396068058,143.25145612128088,145.27596199320675,103296000,1.3547559236694928,1.0201784233690196
2021-08-17,146.88970947265625,148.34695848448595,145.81387503403178,146.92882394156504,92229700,-0.6154030079784878,0.8847133517061644
2021-08-18,143.14390563964844,147.40810018292743,142.93851358506976,146.50831793002382,86326000,-2.5500791351929952,1.0638853627217082
2021-08-19,143.47645568847656,144.74789286728046,141.32480080622992,141.8431535530235,86960300,0.2323186916984632,1.0430782988819163
2021-08-20,144.93373107910156,145.23691686796857,143.55471030699846,144.2002112969401,60549600,1.0156895663697707,1.0328356908091638
2021-08-23,146.42031860351562,146.8897670318289,144.64030363910405,145.05107287931523,60131800,1.0257015488014387,1.056540583299325
2021-08-24,146.3322296142578,147.5449870963477,145.87255624979176,146.16596700294957,48606400,-0.060161724887608514,0.9943238221206222
2021-08-25,145.09996032714844,147.01689814902136,144.55226807046895,146.51809526108525,58991300,-0.8421038142846116,0.9711009324079023
2021-08-26,144.29795837402344,145.84324134015625,144.26861878609316,145.09017201862116,48597200,-0.5527237576886779,0.9793059787324422
2021-08-27,145.33470153808594,145.48139950095754,143.60359095872263,144.23930202916046,55802400,0.7184738964741477,0.9897315388564708
2021-08-30,149.75534057617188,150.11722035437248,145.344448563989,145.7258781178275,90956700,3.0416954734843404,1.1828550681449426
2021-08-31,148.49366760253906,149.44235387734673,147.9655252828058,149.30543085435852,86453100,-0.8424894690090001,1.183355504237601
2021-09-01,149.1587371826172,151.57446255268852,148.99247455645138,149.4717126602179,80313700,0.44787740165341816,1.1802190797463856
