date,news_count,avg_sentiment,sentiment
2023-03-07,17,0.14103641456582633,"{'neutral': 8, 'positive': 7, 'negative': 2}"
2023-03-08,6,0.3333333333333333,"{'neutral': 4, 'positive': 2}"
2023-03-09,18,0.4702380952380952,"{'positive': 10, 'neutral': 8}"
2023-03-10,8,-0.05029761904761905,"{'neutral': 4, 'positive': 3, 'negative': 1}"
2023-03-11,5,0.6185714285714285,"{'positive': 4, 'neutral': 1}"
2023-03-12,4,0.425,"{'positive': 2, 'neutral': 1, 'negative': 1}"
2023-03-13,14,0.2933248299319728,"{'neutral': 8, 'positive': 6}"
2023-03-14,16,0.4121685606060606,"{'positive': 9, 'neutral': 6, 'negative': 1}"
2023-03-15,12,0.14787157287157285,"{'neutral': 6, 'positive': 5, 'negative': 1}"
2023-03-16,12,0.2650793650793651,"{'positive': 7, 'neutral': 5}"
2023-03-17,13,0.2987179487179487,"{'positive': 7, 'neutral': 5, 'negative': 1}"
2023-03-18,4,0.75,"{'positive': 3, 'neutral': 1}"
2023-03-19,5,0.28214285714285714,"{'positive': 4, 'neutral': 1}"
2023-03-20,7,0.0,"{'neutral': 3, 'positive': 2, 'negative': 2}"
2023-03-21,13,0.3076923076923077,"{'neutral': 9, 'positive': 4}"
2023-03-22,16,0.376953125,"{'neutral': 10, 'positive': 6}"
2023-03-23,24,0.2552083333333333,"{'neutral': 13, 'positive': 10, 'negative': 1}"
2023-03-24,15,0.25952380952380955,"{'neutral': 8, 'positive': 6, 'negative': 1}"
2023-03-25,1,0.30714285714285716,{'positive': 1}
2023-03-26,3,0.09523809523809523,"{'neutral': 2, 'positive': 1}"
2023-03-27,17,0.18645276292335117,"{'neutral': 12, 'positive': 4, 'negative': 1}"
2023-03-28,22,0.23963990554899645,"{'positive': 10, 'neutral': 10, 'negative': 2}"
2023-03-29,15,0.5135714285714286,"{'positive': 10, 'neutral': 5}"
2023-03-30,25,0.3293333333333333,"{'neutral': 12, 'positive': 12, 'negative': 1}"
2023-03-31,23,0.4383022774327122,"{'positive': 15, 'neutral': 8}"
2023-04-01,3,0.42857142857142855,"{'positive': 2, 'neutral': 1}"
2023-04-02,3,0.7976190476190476,{'positive': 3}
2023-04-03,22,0.1804112554112554,"{'neutral': 11, 'positive': 9, 'negative': 2}"
2023-04-04,21,0.2884920634920635,"{'neutral': 13, 'positive': 8}"
2023-04-05,31,0.24731182795698922,"{'positive': 16, 'neutral': 11, 'negative': 4}"
2023-04-06,24,0.19867123617123617,"{'neutral': 15, 'positive': 8, 'negative': 1}"
2023-04-07,2,0.0,{'neutral': 2}
2023-04-08,6,-0.027777777777777773,"{'neutral': 3, 'negative': 2, 'positive': 1}"
2023-04-09,6,0.25,"{'neutral': 4, 'positive': 2}"
2023-04-10,23,0.227475845410628,"{'neutral': 13, 'positive': 8, 'negative': 2}"
2023-04-11,19,0.21522556390977443,"{'neutral': 11, 'positive': 7, 'negative': 1}"
2023-04-12,16,0.17666396103896104,"{'neutral': 8, 'positive': 7, 'negative': 1}"
2023-04-13,26,0.23205128205128206,"{'neutral': 16, 'positive': 9, 'negative': 1}"
2023-04-14,12,0.3902777777777778,"{'neutral': 6, 'positive': 6}"
2023-04-15,5,0.0,{'neutral': 5}
2023-04-16,8,0.3366071428571429,"{'positive': 4, 'neutral': 4}"
2023-04-17,20,0.17055555555555554,"{'neutral': 10, 'positive': 7, 'negative': 3}"
2023-04-18,18,0.4324434824434824,"{'positive': 12, 'neutral': 6}"
2023-04-19,14,0.38571428571428573,"{'positive': 7, 'neutral': 6, 'negative': 1}"
2023-04-20,20,0.08393939393939394,"{'positive': 9, 'neutral': 6, 'negative': 5}"
